original_index,content,clean_final,pred_topic
0,udah warp 140 kali masih blum dapat B5 yg ada di banernya malah dapet Clara di warp ke 80 sisa nya B4 mulu susah banget dapet B5 nya.....,warp kali b banernya clara warp sisa b mulu susah b,-1
1,"Bagus game hoyo versi turn base, banyak bansos, cuma kekurangan nya kalau gacha relic sering ampas bahkan rerol nya gak guna, dan sering bug muncul di story maupun saat menjelajahi map biasa",hoyo versi turn base bansos kurang gacha relic ampas rol bug muncul story jajah map,-1
2,"bagus, tapi semenjak update besar bngt GB nya",semenjak update gb,-1
3,global passive? HP inflation? pfft* hell no,global passive inflation pfft hell,20
4,game nyah sudah saya hapus susah gacha nyah apa lagih buat free 2 play nyari nyah lama ngumpulin nyah keburu habis banner nyah,hapus susah gacha free cari kumpul keburu habis banner,-1
5,"ga jelas bgt siii, masa pas story di tempat bersalju mau nolongin orang nge stuck di black screen tiba"", mana lama bgt lagi kg muncul"", knp sih? bug ya, pls dong perbaiki bug nya",siii story salju tolong orang nge stuck black screen muncul bug baik bug,-1
6,"Buat game ini jadi seimbang, jangan buat character lama tidak terpakai",imbang character pakai,-1
7,walaupun hampir smua nya chara b5 tapi hsr masih rajin ngasih bansos thx game baik sehat2 yak walaupun castorice gw pulang stelah 150x pull😭,chara b hsr rajin bansos yak castorice pulang stelah x pull,-1
8,"tlonk adain karakter pacarku, dia mw jadi anak kesayangan soalnya",adakan karakter pacar anak sayang,-1
9,"GAME JAHAT, STELLAR 8K KU HILANG DI MAKAN BAILU KASIH TROS HARD PITI GE MAU CASTORICE OON ANJG ANJAHANNAJAJAKJAJAJS, CASTORICE GWA UDAH PITI 75 BLOM DAPET PARAH LU ANJ",jahat stellar k ku hilang makan bailu hard pit ge castorice oon anjg anjahannajajakjajajs castorice gwa pit parah anj,-1
10,bagus tapi download data terus,download data,28
12,lumayan,lumayan,-1
13,hoyoverse plis lah saya nak karakter castorice plis hoyoverse udh gacha 40x gak dapat plis gacha 50 dapat ya hoyoverse baik selamat ulang tahun ke 2 honkai star rail,nak karakter castorice gacha x gacha selamat ulang honkai star rail,7
14,gamenya seru banyak event nya😋,event,-1
15,"Terimakasih Hoyoverse sudah membuat masterpiece bernama Honkai Star Rail. Game ini adalah salah satu game turn based terbaik yang pernah saya mainkan. Story bagus, gameplay bagus dan gak kikir ke player. Powercreepnya emang gak masuk akal sih tapi karakter yang kurang juga masih bisa dipakai kayak Yunli walau udah di powercreep sama feixiao masih bisa dipakai buat ngeclear content. ini game juga gak kikir",masterpiece nama honkai star rail salah turn based baik main story kikir player powercreepnya masuk akal karakter pakai yunli powercreep feixiao pakai ngeclear content kikir,-1
16,"game nya bagus banget, cutscene bagus banget apalagi pas cutscene 2.2 kemarin",cutscene cutscene kemarin,-1
17,saya ingin lost Netherland atau area ultimate dari castorice lebih di optimisasi karena area tersebut menyebabkan lag berlebihan pada saat melawan boss,lost netherland area ultimate castorice optimisasi area sebab lag lawan boss,-1
18,"bagusss bngttt pliss, apalgi alur kisah castorice dan acheron nyaaa, yang castorice bikin terharuuu, sedihh, dan game nya banyak event, game nya juga baik kagak pelitttt pulakkk",bagusss bngttt apalgi alur kisah castorice acheron nyaaa castorice terharuuu sedihh event pelitttt pulakkk,16
19,MINIMAL KALO GACHA RELIC TUH DISESUAIN KEK KALO BUAT SUPPORT YA DEF KALO BUAT DPS CR/CDM/BREAK INI BUAT DPS DEF GIMANA SIH LO BLOON,minimal gacha relic tuh disesuain support def dps cr cdm break dps def gimana lo bloon,-1
20,powercreep kurang ajar,powercreep ajar,6
21,Untuk saya mah udah bagus very good dan ceritanya yang bagus sangat-sangat baguss saya sampai menangis bahagia,mah cerita baguss menang bahagia,-1
22,lebih ke curhat sih di anniv ini kecewa berat hard pity kena off di 74 dan coba lagi dpt on nya di 76 anniv terburuk yg pernah ada wkwkwwk pait cok dev mau duit,curhat anniv kecewa berat hard pity kena coba anniv buruk wkwkwwk pait cok dev duit,-1
23,Security verification delay too long,security verification delay long,-1
24,"gangerti kenapa banyak yang bilang game powecreep gila padahal gw pribadi main f2p main juga ga nguli² banget masih oke² aja dan entah kenapa di 3.2 ini gw wangi banget malah dapet castorice, seele, fugue",gangerti bilang powecreep gila pribadi f p nguli wangi castorice seele fugue,-1
25,anti penyakit powercreep gila🤑🤑🤑🤑,anti sakit powercreep gila,6
