doc_index,topic
0,-1
1,-1
2,-1
3,20
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,28
11,-1
12,7
13,-1
14,-1
15,-1
16,-1
17,16
18,-1
19,6
20,-1
21,-1
22,-1
23,-1
24,6
25,-1
26,-1
27,4
28,-1
29,21
30,-1
31,-1
32,2
33,-1
34,10
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,5
45,-1
46,11
47,-1
48,2
49,-1
50,-1
51,-1
52,3
53,4
54,-1
55,-1
56,-1
57,23
58,4
59,6
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,29
69,33
70,-1
71,6
72,-1
73,-1
74,13
75,3
76,-1
77,-1
78,-1
79,-1
80,0
81,-1
82,-1
83,-1
84,23
85,-1
86,-1
87,-1
88,-1
89,-1
90,-1
91,6
92,-1
93,-1
94,-1
95,-1
96,-1
97,-1
98,12
99,3
100,-1
101,-1
102,0
103,31
104,-1
105,-1
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,26
114,13
115,16
116,-1
117,-1
118,-1
119,-1
120,8
121,13
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,32
131,-1
132,-1
133,13
134,-1
135,-1
136,3
137,3
138,-1
139,-1
140,6
141,8
142,2
143,-1
144,0
145,-1
146,-1
147,10
148,-1
149,7
150,-1
151,3
152,-1
153,9
154,0
155,35
156,-1
157,29
158,16
159,22
160,10
161,-1
162,22
163,12
164,-1
165,-1
166,-1
167,-1
168,-1
169,-1
170,11
171,29
172,-1
173,14
174,-1
175,-1
176,-1
177,18
178,-1
179,-1
180,-1
181,0
182,-1
183,-1
184,-1
185,3
186,-1
187,-1
188,8
189,-1
190,12
191,-1
192,3
193,-1
194,-1
195,-1
196,-1
197,12
198,-1
199,-1
200,2
201,-1
202,-1
203,9
204,-1
205,-1
206,26
207,6
208,1
209,-1
210,-1
211,-1
212,-1
213,-1
214,35
215,-1
216,2
217,10
218,-1
219,-1
220,-1
221,-1
222,-1
223,3
224,-1
225,0
226,7
227,-1
228,-1
229,-1
230,8
231,13
232,-1
233,-1
234,13
235,-1
236,2
237,17
238,9
239,-1
240,10
241,-1
242,20
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,1
251,1
252,6
253,6
254,-1
255,-1
256,-1
257,0
258,12
259,-1
260,-1
261,-1
262,-1
263,4
264,-1
265,-1
266,17
267,6
268,-1
269,21
270,-1
271,0
272,3
273,-1
274,-1
275,-1
276,9
277,-1
278,-1
279,-1
280,-1
281,9
282,-1
283,2
284,-1
285,2
286,16
287,20
288,-1
289,-1
290,-1
291,-1
292,-1
293,3
294,-1
295,-1
296,8
297,-1
298,0
299,3
300,-1
301,1
302,-1
303,-1
304,11
305,0
306,-1
307,0
308,1
309,-1
310,-1
311,3
312,3
313,4
314,-1
315,-1
316,-1
317,16
318,12
319,-1
320,-1
321,-1
322,3
323,0
324,-1
325,6
326,3
327,-1
328,14
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,11
336,8
337,-1
338,-1
339,-1
340,-1
341,6
342,16
343,-1
344,-1
345,29
346,-1
347,-1
348,-1
349,3
350,-1
351,14
352,0
353,3
354,-1
355,-1
356,-1
357,-1
358,-1
359,1
360,-1
361,-1
362,-1
363,-1
364,10
365,-1
366,-1
367,-1
368,-1
369,-1
370,9
371,-1
372,-1
373,-1
374,-1
375,-1
376,-1
377,-1
378,0
379,3
380,-1
381,20
382,20
383,-1
384,-1
385,-1
386,-1
387,-1
388,-1
389,-1
390,6
391,8
392,18
393,-1
394,-1
395,-1
396,-1
397,-1
398,-1
399,-1
400,2
401,15
402,-1
403,-1
404,-1
405,4
406,8
407,-1
408,-1
409,-1
410,21
411,21
412,4
413,-1
414,-1
415,35
416,-1
417,4
418,-1
419,5
420,12
421,-1
422,-1
423,8
424,6
425,-1
426,-1
427,-1
428,22
429,-1
430,-1
431,-1
432,-1
433,-1
434,-1
435,-1
436,18
437,-1
438,1
439,13
440,-1
441,-1
442,-1
443,-1
444,-1
445,-1
446,-1
447,-1
448,-1
449,-1
450,3
451,3
452,20
453,-1
454,-1
455,3
456,8
457,-1
458,-1
459,6
460,-1
461,-1
462,-1
463,-1
464,-1
465,-1
466,-1
467,-1
468,-1
469,-1
470,3
471,26
472,-1
473,2
474,-1
475,-1
476,-1
477,-1
478,22
479,-1
480,21
481,4
482,-1
483,-1
484,11
485,9
486,-1
487,-1
488,18
489,-1
490,-1
491,2
492,19
493,22
494,-1
495,-1
496,5
497,-1
498,9
499,-1
500,17
501,-1
502,-1
503,-1
504,-1
505,-1
506,10
507,-1
508,31
509,-1
510,0
511,-1
512,-1
513,-1
514,-1
515,-1
516,-1
517,-1
518,-1
519,-1
520,-1
521,-1
522,-1
523,9
524,-1
525,-1
526,-1
527,12
528,-1
529,12
530,-1
531,3
532,-1
533,-1
534,2
535,-1
536,13
537,-1
538,-1
539,10
540,-1
541,-1
542,-1
543,-1
544,23
545,-1
546,-1
547,18
548,-1
549,-1
550,17
551,-1
552,5
553,-1
554,34
555,-1
556,-1
557,21
558,-1
559,-1
560,-1
561,21
562,-1
563,-1
564,-1
565,-1
566,-1
567,-1
568,-1
569,-1
570,-1
571,-1
572,-1
573,-1
574,6
575,-1
576,-1
577,15
578,4
579,7
580,6
581,-1
582,16
583,21
584,2
585,-1
586,-1
587,11
588,-1
589,-1
590,-1
591,-1
592,-1
593,-1
594,-1
595,-1
596,-1
597,35
598,-1
599,22
600,-1
601,-1
602,21
603,-1
604,14
605,-1
606,-1
607,35
608,22
609,7
610,-1
611,-1
612,10
613,-1
614,-1
615,10
616,-1
617,-1
618,-1
619,-1
620,-1
621,-1
622,-1
623,0
624,17
625,-1
626,-1
627,22
628,-1
629,15
630,23
631,5
632,0
633,-1
634,-1
635,21
636,-1
637,-1
638,-1
639,21
640,-1
641,-1
642,-1
643,2
644,-1
645,-1
646,-1
647,-1
648,-1
649,-1
650,2
651,-1
652,-1
653,-1
654,6
655,-1
656,-1
657,15
658,-1
659,8
660,-1
661,-1
662,2
663,14
664,0
665,-1
666,-1
667,-1
668,-1
669,-1
670,-1
671,-1
672,10
673,2
674,-1
675,-1
676,-1
677,11
678,-1
679,10
680,6
681,10
682,-1
683,-1
684,-1
685,13
686,2
687,35
688,3
689,-1
690,2
691,8
692,-1
693,18
694,16
695,-1
696,13
697,7
698,-1
