Topic,Count,Name,Representation,Representative_Docs
-1,12628,-1_karakter_story_update_baik,"['karakter', 'story', 'update', 'baik', 'suka', 'main', 'gacha', 'bug', 'bintang', 'genshin']","['honkai star rail baik mainin segi cerita animasi desain karakter santai ngebosenin', 'baik bug bug nyaman main', 'login gagal eror kecewa update versi baru nambah masuk login eror bantu developer baik download data keluh moga cepat tanggap']"
0,734,0_really_even_character_get,"['really', 'even', 'character', 'get', 'characters', 'new', 'hope', 'give', 'still', 'much']","['inflation sense always star limited characters released every patch new star characters kits makes free players helpless developers pay attention aspects big effect even though many events provide attractive rewards emergence problems still cannot covered event alone conditions characters played', 'honestly really even though device still apply global passive many characters future players forced get characters keep meta', 'playing long time often top since new update getting weirder power creep inflation sense also global passive seems force players gacha new characters complete endgame story effect old characters longer used story long winded black screen yapping boring add skip fitures']"
1,329,1_login_error_masuk_login error,"['login', 'error', 'masuk', 'login error', 'eror', 'mulu', 'tulis', 'error mulu', 'coba', 'akun']","['masuk muncul tulis login error', 'susah login login fb akun google nggk masuk tulis login error mulu', 'login tulis login error mulu']"
2,312,2_mulu_gacha_gara_pity,"['mulu', 'gacha', 'gara', 'pity', 'hoyo', 'ampas', 'fomo', 'rate', 'pity mulu', 'ampas mulu']","['gacha pity hoyo hoki hard pity mulu', 'sayang gacha hard pity mulu', 'gacha hard pity mulu']"
3,305,3_fitur_skip_tambah_tambah fitur,"['fitur', 'skip', 'tambah', 'tambah fitur', 'fitur skip', 'fitur hapus', 'tombol', 'hapus', 'tombol skip', 'hapus data']","['tambah fitur skip story', 'tambah fitur skip dialog', 'tambah fitur skip']"
4,265,4_huh_huh hah_hah huh_hah,"['huh', 'huh hah', 'hah huh', 'hah', 'mantab', 'mantappp', 'wangy', 'weee', 'wangy wangy', 'kiw']","['huh', 'mamah kafkaaaaa uwoghhhhhhh wangi wangi aahhhhh mpsshhhhhhhh uwoghhhhhhhhhhhhhhhh wangy wangy wangy wangy wangy huh hah huh hah huh hah huh hah huh hah huh hah huh uwoghhhhhhhhhhhhhhhh uwoghhh', 'woyyy skip storyyyyyyyyyyyyyyyyy malas bgttt guaaaaaaaa lihat storynyaaaa malassz susper malassss pel skip storyyy yaaa hoyoooooooooooooooooooo nang guaaaaa lihat storynyaaaa bosennnnnn woyyyy tuliiii dengerin playernyaaaaaaa hoyoooo']"
5,243,5_sigma_jiwa_ges_gema,"['sigma', 'jiwa', 'ges', 'gema', 'gas', 'gaming', 'made', 'pom', 'kelas', 'dermawan']","['tim dermawan langsung', 'gaming ges', 'sigma robin']"
6,232,6_powercreep_gila_sakit_powercreep gila,"['powercreep', 'gila', 'sakit', 'powercreep gila', 'powercreep powercreep', 'powercreepnya', 'sakit powercreep', 'gila powercreep', 'kurang', 'powercreep gilak']","['powercreep gila', 'l powercreep', 'powercreep']"
7,208,7_honkai_rail_honkai star_star rail,"['honkai', 'rail', 'honkai star', 'star rail', 'star', 'impact', 'honkai impact', 'genshin', 'impact honkai', 'genshin impact']","['honkai star rail rilis', 'honkai star rail genshin impact honkai impact', 'honkai star rail']"
8,206,8_bansos_bansosnya_bansos bansos_banyak bansos,"['bansos', 'bansosnya', 'bansos bansos', 'banyak bansos', 'banyak', 'belah', 'bansos bansosnya', 'bansos lancar', 'ngalir', 'limpah']","['bansos lancar', 'bansos', 'banyak bansos']"
9,195,9_firefly_give_fun_always,"['firefly', 'give', 'fun', 'always', 'ever', 'finally', 'luck', 'sunday', 'waiting', 'wait']","['firefly b', 'e firefly', 'firefly']"
