content,clean_final,pred_topic
Yang jelek cuma rate gacha kek biasa,jelek rate gacha,29
seruuuuuuuu cuma kadang ngelag ajah banner,seruuuuuuuu kadang ngelag ajah banner,15
"Untuk gameplay dari game bagus, terutama yg waktu di bos jarillo IV, bisa gunain skill golem yg gede 😀😀😀😀",bos jarillo iv gunain skill golem gede,-1
"Sehat"" game baik gacha",gacha,28
yang rating rendah emang gamampu gacha castorice,rating rendah gamampu gacha castorice,-1
Game seru banget game nya turn-based,turn based,16
"Gamenya bagus grafik juga bagus,tapi lodingnya lama sama biasanya keluar sendiri😭 gacha",grafik lodingnya gacha,-1
"Game yang sangat bagus dari segi gameplay maupun story, recommended banget.Tapi untuk stat relic nya mohon di permudah",segi story recommended stat relic mudah,-1
"Gimana dah baru balik lagi, malah semua akun gua ke reset",gimana akun reset,-1
"yosh game rpg turn base yang emang bener bener ngasih pengalaman beda ama game lain, mulai dari elemental sama weakness break, mantap lah pokoknya, dan juga dari segi gameplay dan juga pov yang bener bener ngasih suasana yang bikin makin betah buat main🔥 pity",yosh rpg turn base bener bener alam beda ama elemental weakness break pokok segi pov bener bener suasana betah pity,-1
saud x rizki x harry,saud x rizki x harry,-1
Hebat,hebat,-1
Kenapa Ngak Bisa Unduh datanya,unduh data,5
"Seru, aku suka semua game yang di buat mihoyo",suka mihoyo,20
Mantap dapet Kafka😁😅😁😅😅😁,kafka,3
Bintang 1 dulu nanti kalo bisa login baru bintang 5,bintang login bintang,-1
"Bisakah pada bagian quest (warna biru) itu diberikan fitur skip? , soalnya boring kalau harus ngomong trus ,kalau bisa diberikan fitur skip agar cepat menyelesaikan quest nya turn-based",quest warna biru fitur skip boring ngomong fitur skip cepat selesai quest turn based,0
Mantap ga kikir banner,kikir banner,-1
intinya bukan game kikir😁🙏 turn-based,inti kikir turn based,-1
Sangat membosankan banner,bosan banner,13
"knapaa banyak player skill isuuu di game ini?? tapi nyalahin hp inflasi ama powercreep .. gw free player aman2 ajaaa ... amaa padaaa jadii cenayangg global passive bakal ngrusak game, yaaa benerr kalo tiap patch diriliss , laa kaloo setaun skill ???? minn storyy jgn kebanyakan yapping , dan di hp kentang gw kdg stuk login 🙏",knapaa player skill isuuu nyalahin hp inflasi ama powercreep free player aman ajaaa amaa padaaa jadi cenayangg global passive ngrusak yaaa benerr patch diriliss laa kaloo taun skill minn storyy banyak yapping hp kentang kdg stuk login,0
"Msh bnyak bug berkeliaran,. 😂",msh bnyak bug liar,9
jujur ga paham lagi di spam bintang satu karena castorice mau rilis🗿,jujur paham spam bintang castorice rilis,-1
Mmmwuachhh,mmmwuachhh,4
"Gim baik, tapi game turn base gacha tuh emg berat karena yang namanya turn base itu pasti musuhnya bermacam² tipe, nah buat nye imbangi lawan musuh² jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk.",turn base gacha tuh berat nama turn base musuh tipe nye imbang lawan musuh tipe sesuai gacha character wkwkwk,-1
Game turn base terbaik sejauh ini,turn base baik,-1
Bagus banget aku suka Tapi akun aku jarang banget dapat char b5 Tapi gapapa saya sangat menikmati gamenya,suka akun jarang char b gapapa nikmat,-1
makin rusak nih game kek genshin,rusak nih genshin,-1
wibu bau bawang,wibu bau bawang,-1
"Suka banget sama game nya, panjang umur game baik",suka umur,-1
"Wadaww Seru cuman you know lah, masih banyak kekurangan. But yeah that's good, I mean, it's a really fun game. Aku gak bisa bilang ini game gak seru, masih banyak kekurangan tapi yah... Just understand",wadaww cuman know kurang yeah mean really fun bilang kurang yah understand,1
oi give us star 4 remembrance or anything la. too many star 5 who cant compete with new character pity,oi give us star remembrance anything la many star cant compete new character pity,1
Overal bagus cuman Ya namanya juga game turn based Kalo pengen adain fitur kaya Game Genshin ya ngotaklah sikit,overal cuman nama turn based ken adakan fitur kaya genshin ngotaklah sikit,-1
3.0 is the worst Patch and here's the Reasons: 1. So many Black Screen without any Cutscenes/Animation for the Character doing something 2. The Gameplay is very long that took almost 10+hours full of Yapping and less Cutscenes with just only 7 Minutes of Cutscenes 3. Worst Story Telling Ever.. Even HI3 Part 2 Current Patch is better than 3.0 Amphoreus 4. The Static Movement of the Characters without any Variation and Stationary Camera also The characters don't have any Expressions on their Face,worst patch reasons many black screen without cutscenes animation character something long took almost hours full yapping less cutscenes minutes cutscenes worst story telling ever even hi part current patch better amphoreus static movement characters without variation stationary camera also characters expressions face,1
Kecewa berat 🤓🤓,kecewa berat,-1
jadi game ampas gini cok,ampas gin cok,-1
"padahal game nya bsgus, cuma gara"" dialog doang banyak dari pada cut shene.",bsgus gara dialog doang cut shene,14
Cinta banget sama nih game ga kikir samsek❤️❤️❤️,cinta nih kikir samsek,-1
powercreepnya mengerikan,powercreepnya keri,8
"Aku sih suka, gamenya bagus banner",suka banner,11
"selalu saja ketika login muncul tulisan login error silahkan coba lagi nanti, kode error 1001_3",login muncul tulis login error silah coba kode error,2
"Gamenya bagus dari segi gameplay, grafik dan story tapi dialog karakter kepanjangan",segi grafik story dialog karakter panjang,19
SUKA BANGET SAMA GAME NYAAA,suka nyaaa,32
"Saya bermain geishin impact lancar dan grafik full mentok , tidak ada komentar buruk,tapi knpaa game ini ukuran Kecil mengalami patah patah saat bermain di Oppo Reno 4f mohon perbaiki min 👍",main geishin impact lancar grafik full mentok komentar buruk knpaa ukur alami patah patah main oppo reno f baik,-1
gem baik lag,lag,22
Udah pernah rate laaa,rate laaa,32
Nunggu give away char b5 😁,tunggu give away char b,7
"Bintang 3 dulu, soalnya baru nyoba ntar kalau bagus saya kasih naikin ratingnya",bintang nyoba naikin ratingnya,-1
Game story tapi characternya hrus gacha? Aku gapaham konsepnya tapi banyak yg suka bahkan keluarin uang,story characternya gacha gapaham konsep suka keluarin uang,-1
Aku enggak tahu apakah karena hpku yang tidak mendukung atau gimana tetapi aku tidak bisa memainkan gamenya soalnya gamenya berhenti bi bagian awal tidak bisa di pencet atau di apa apakan mohon developer kasih tahu kenapa ini,hpku dukung gimana main henti bi pencet apa developer,-1
Gapernah gw main game global server asia ping kek main di server luar asia sampe 200ms apaan server asia,gapernah global server asia ping server asia sampe ms server asia,-1
Bug freeze oi,bug freeze oi,-1
Good gacha,gacha,28
Gamenya bagus gak bohong. Cuma ukuran gamenya semakin update semakin besar untuk ukuran mobile sampe 21gb... Gilaaaaaaa,bohong ukur update ukur mobile sampe gb gilaaaaaaa,-1
sparkle is very beautiful and cute,sparkle beautiful cute,1
"the game's so good, i like it a lot, the gameplay, the well designed characters, great story, i couldn't ask more. update",lot well designed characters great story ask update,1
"Makasih udah pulangin mommy jingluku min walaupun pity 8 gapapa lahh, yg penting pulang, tinggal kasih relic yang bagus² yakk wkwkkw",pulangin mommy jingluku pity gapapa lahh pulang tinggal relic yakk wkwkkw,14
Udah sering kalah rate off apalagi si Himeko biji 🗿,kalah rate himeko biji,-1
Selebihnya bagus cuman loading pas mau masuk aja nunggu seabad,lebih cuman loading masuk tunggu abad,-1
Game terbaik. cuman masalah ngeframe pas di cutscene itu aja masalahnya bang hoyoverse,baik cuman ngeframe cutscene bang,-1
Game baik bet,bet,6
Selalu buat event berlimpah kayak kakaknya Hi3.. Jangan se pelit GI,event limpah kakak hi pelit gi,-1
Bagus gamenya Gak sia sai nunggu lama Cuman terkadang loginnya eror Entah itu pas main maupun pas login Tolong diperbaiki secepatnya Soalnya lumayan ganggu,sia sai tunggu cuman terkadang loginnya eror login baik cepat lumayan ganggu,2
"Game kuomttoolllll ga rate off ga rate on dikasih B5 dipity 80+ Mulu kuotnnnntolllllll, kasih kek dipity rendahh anjinkkk hoyoversee luotktmtolllll",kuomttoolllll rate rate kasih b dipity mulu kuotnnnntolllllll dipity rendahh anjinkkk hoyoversee luotktmtolllll,-1
