Topic,Count,Name,Representation,Representative_Docs
-1,2898,-1_bug_hp_grafik_bintang,"['bug', 'hp', 'grafik', 'bintang', 'rate', 'update', 'main', 'baik', 'pity', 'story']","['bug pakai jangka singkat baterai bilang boros perangkat ponsel cepat overheat harap cepat baik masalah pusat update gacha', 'bintang error login update atas x coba suka force closed update main update tindak lanjut kembang gacha', 'overall yahh better main platform suka nih hp kentang nih nampung full kanan hd nambah bintang yah minus bagi story bug']"
0,313,0_karakter_player_story_char,"['karakter', 'player', 'story', 'char', 'main', 'event', 'tarik', 'hsr', 'suka', 'gacha']","['khawatir muncul global passive kenal tingkat kuat musuh karakter karakter guna powercrept boring ngandelin karakter kelar konten story story cocok player ngabisin', 'jujur turn base guah main semenjak jalan inflation hp bos gila gila serang musuh pikir powercreep karakter cepat player paksa gacha karakter karakter dps rerunt ambil powercreep mulu', 'overall story powercreep parah karakter susah main meta laku stabil monster variasi karakter susah new player sulit susah enjoy moc kena buff hp']"
1,233,1_star_hoyo_based_turn based,"['star', 'hoyo', 'based', 'turn based', 'story', 'turn', 'star rail', 'rail', 'player', 'lag']","['however cant jump still story quiet fun music live fantasy new player never spen many jade gacha turn based', 'turn based animation makes beautiful story hoyo', 'great hovoverse simple terms dont need fast hand ping great end eq genshin spiral abyss need build character bit strategic story great always f p really enjoy reward event daily new patch etc overall u turn based games try honkai star rail job keep work']"
2,231,2_update_baik_bug_tunggu,"['update', 'baik', 'bug', 'tunggu', 'lag', 'hp', 'ku', 'bintang', 'banner', 'hsr']","['update muncul tulis login eror masuk baik', 'baik sistem update habis update store update dalam gb file dicopy timpa update mb banner', 'beut baik bug masuk login update gacha nge blank karuan suara animasi kedap kedip']"
3,124,3_pity_genshin_mihoyo_gacha,"['pity', 'genshin', 'mihoyo', 'gacha', 'hoyo', 'lag', 'turn based', 'turn', 'based', 'ampas']","['gacha high pity muulu babi', 'gacha hard pity', 'mihoyo gacha low pity']"
4,105,4_hoyo_bet_hsr_rate,"['hoyo', 'bet', 'hsr', 'rate', 'grafik', 'banner', 'turn based', 'based', 'lag', 'turn']","['hoyo lanjut', 'hoyo', 'hoyo']"
5,96,5_update_event_bintang_banner,"['update', 'event', 'bintang', 'banner', 'star rail', 'rail', 'hsr', 'star', 'story', 'grafik']","['update', 'update', 'yattaa update']"
6,89,6_bet_ampas_rate_,"['bet', 'ampas', 'rate', '', '', '', '', '', '', '']","['ampas', 'bet', 'bet']"
7,89,7_tunggu_update_baik_gacha,"['tunggu', 'update', 'baik', 'gacha', 'bosan', 'tarik', 'lag', 'main', 'rate', 'genshin']","['setia tunggu konten', 'moga update depan cerita baik kadang tunggu masuk', 'sabar tunggu buka update']"
8,85,8_star rail_rail_star_hoyo,"['star rail', 'rail', 'star', 'hoyo', 'hp', 'update', 'karakter', 'banner', 'bet', 'turn based']","['powercreep star rail', 'powercreep star rail tambah global pasif kuras dompet player update', 'hp inflation powercreep imbalance star rail']"
