original_index,content,clean_final
11581,game nya seru abiss!!,abiss
23812,Keren abiss,abiss
2886,"Nice game, ABSOLUTE CINEMA✋😧🤚",absolute cema
5569,ABSOLUTE CINEMA,absolute cema
141,Just Absolute Cinema,absolute cema
402,absolute cinema ✋😎🤚,absolute cema
5831,Absolute cinema ✋😐🤚,absolute cema
117,absolute cinema,absolute cema
5574,Absolute cinema,absolute cema
6625,Absolute Cinema,absolute cema
6561,Absolute cinema,absolute cema
9904,Berikan aku Acheron plisss,acheron
11901,i love acheron,acheron
11833,Aku Acheron,acheron
12583,All in Acheron,acheron
12832,ACHERON ALL IN💜⚡,acheron
8762,Tolong adain fitur coop,adakan fitur coop
8217,adain fitur coop pls?,adakan fitur coop
24078,Add Skip Story,add skip story
10537,Please add skip story!,add skip story
8929,Agus,agus
11226,Agus,agus
23006,Agus,agus
10289,Ahh,ahh
7088,ahh mantap,ahh
19353,Game nya bagus aj kok🗿👍,aj
3720,ikut aj,aj
10586,Bagus dah itu aj,aj
10846,Bagus dah itu aj,aj
5526,"keren, ya keren ajah",ajah
11166,Game nya bagus Udah itu ajah,ajah
12072,makasih akun ku sudah balik lagi,akun ku
15790,Ok akun ku dah baik,akun ku
9571,Pengalaman saya bermain game ini sangat baik,alam main
16644,Pengalaman bermain yang sangat mantap,alam main
11813,Alhamdulillah,alhamdulillah
18003,Alhamdulillah seru. Terimakasih 🙏🥰,alhamdulillah
13126,Game nya seru alur cerita nya bagus!,alur cerita
8543,Untuk gameplay dan alur cerita nya bagus banget,alur cerita
14602,"Game nya sangat bagus,, apa lagi alur cerita ny,, keren bgtt",alur cerita
21621,Mantep alur cerita nya,alur cerita
725,Always good game,always
22412,Nice as always,always
6149,Always rate off 😁,always rate
15949,Always rate off,always rate
17591,Aman dah,aman
6085,Aman kembali,aman
24538,Amazing,amazing
13270,Amazing game-!!!,amazing
10864,Amazing 👍,amazing
20416,Amazing game,amazing
9822,This Game So Amazing🙏🙏🙏🙏🙏🙏,amazing
15678,Amazing,amazing
20201,Amazing game,amazing
18958,Amazing,amazing
17719,Amazing,amazing
17048,Amazing,amazing
7883,amazing game,amazing
19728,Amazing,amazing
16663,Amazing,amazing
23567,Amazing this game,amazing
24093,Amazing,amazing
10665,game ampas,ampas
7366,ampas,ampas
18211,Ampas,ampas
16313,Game ampas,ampas
13166,Ampas,ampas
3061,game ampas,ampas
19538,Game ampas,ampas
19418,Game ampas,ampas
2065,game ampas sudah jadinya,ampas
20395,Ampas,ampas
6279,"pls lah, ampas banget gacha nya",ampas gacha
22794,Ampas gacha nya,ampas gacha
11198,Anak emas,anak emas
9237,Anak emas,anak emas
9988,Anak emas hoyo,anak emas hoyo
16563,anak emas hoyo,anak emas hoyo
9427,Game paling aneh ya game ini,aneh
20120,aneh,aneh
6037,Aneh banget,aneh
7173,Aneh,aneh
10910,"Saya rasa sudah bagus, namun terlalu banyak animasi.",animasi
13912,Keren banget animasinya,animasi
16955,Game anime bagus 🥰,anime
7973,Game anime ini Bagus 👍,anime
1311,game anj,anj
18431,keren anj game nya,anj
20347,Anjay,anjay
8419,anjay,anjay
9460,anjay,anjay
8853,Anjay,anjay
19272,anjay,anjay
3075,anjay,anjay
9725,Anjay.,anjay
2088,anjay,anjay
1914,anti kikir :D,anti kikir
8905,anti kikir,anti kikir
3270,game anti kikir🔥,anti kikir
9985,Emang gg ini game anti kikir👍🏻👍🏻👍🏻,anti kikir
13995,Game baik anti game kikir😋🗿,anti kikir
533,Anti kikir🗿👍,anti kikir
16701,Mantap anying,anying
24721,Lama anying,anying
13381,Ini aplikasi nya kenapa sih kok keluar keluar sendiri,aplikasi
12199,Bagus banget aplikasi nya,aplikasi
19321,Aplikasi,aplikasi
20180,Aplikasi gak jelas🥱,aplikasi
20292,Sangat bagus apk nya 😀😀😀😀,aplikasi
16657,Bagus asik,asik
7726,gamenya asik,asik
21712,Tidak asik,asik
2190,entahlah tapi gamenya asik,asik
21296,Game nya asik,asik
18008,Asik,asik
10908,Asik,asik
18971,Lu asik coy,asik
1638,Asik dan Seru ni game 🗿,asik
22081,Gamenya asik,asik
6511,Asik,asik
16923,Asik,asik
3651,asik game nya,asik
15713,asik,asik
6936,Asik,asik
7137,Asik,asik
7128,Asik,asik
3445,asik,asik
9643,asik,asik
24063,Gamenya asik,asik
3579,game nya asik dan keren coy,asik
9466,Asik,asik
12700,Awesome,awesome
20075,Awesome game,awesome
25196,Awesome,awesome
18545,Awesome game! ;),awesome
24007,Awesome 👍👏,awesome
16022,Awesome,awesome
7857,bukankah sudah jelas kenapa aku memberikan b5!??,b
10049,Game pertama yang gw kasih b5,b
21128,B aja,b
20930,B aja,b
19392,Untuk saat ini b5,b
7639,B aja,b
20511,B aja,b
2158,gatau b5 aja,b
2504,game b2,b
23059,Kasih B5 dong,b
9452,Kapan kapan kasih B5 dong,b
271,B aja,b
16707,B aja,b
1508,Babi,babi
16552,GAME BABI,babi
21312,Game babi!,babi
18936,Game babi,babi
19980,not bad,bad
20674,Not bad,bad
5629,Bad,bad
18634,Not bad,bad
22293,Not bad,bad
10532,Bad,bad
16856,No bad,bad
21054,Not Bad,bad
5656,not good but not bad,bad
13117,Not bad game,bad
