original_index,content,clean_final
11,bagus gemnya,
50,Game baik,
68,mantap,
74,thanks game baik,
76,bagus,
86,￶‍,
93,thanks game baik,
94,game nya bagus banget,
95,game baiq,
104,game baik,
112,bagus,
120,game baik,
126,bagus aja,
134,nice game,
143,game bagus,
150,mantep dah,
227,game baik,
249,keren,
255,nice,
264,😡🍠,
267,Sehat-sehat game baik 😁,
277,seru👍,
282,game bagus,
284,Bagus,
291,mantap,
295,bagus,
338,game baik,
339,👍🏻,
349,best bgt.,
355,ok,
368,👍👍,
376,game seru,
377,👍👍👍👍 good game,
381,👍👍👍,
384,nice,
392,mantap,
409,Very good,
411,😹🙏,
435,keren,
438,"entah, lu keren",
440,keren,
448,Sehat² game baik ❤️🥰,
456,sangat bagus,
458,ya bagus bagus aja sih,
463,Bagus,
464,bagus,
469,sangat bagus,
474,Game ini sangat bagus dan keren 😴😴,
478,i love you gim baik,
481,game bagus,
494,bagus,
518,i love this game.,
524,game baik bagus juga terimakasih hoyoverse,
531,karena ini seru,
532,Gim baik🥰,
536,GAME BAGUS,
538,makasih game baik🥰🥰,
539,👍,
542,i love this game sm,
548,game nya bagus,
585,love it,
590,gamenya bagus,
597,game baik,
602,best lah,
607,Good,
617,👍,
627,game baik,
628,game baik,
635,gem baik🤗,
637,bagus udah itu aja,
638,Keren,
641,Nice,
649,semuanya bagus ga ada masalah sama sekali sih di gua,
653,nice👌,
668,mantap,
672,game seru,
680,🙏,
685,nice,
686,very very good game,
693,mantap,
712,👍,
716,bagus,
719,game yg sangat bagus,
732,bagus,
736,over all good,
746,game yang sangat bagus👍👍👍,
749,👍👍👍👍,
768,The best lah,
769,nice,
781,bagus,
788,bagus,
794,keren,
798,Bagus😊👍,
799,😁👊👊👊🔥,
803,Gamenya bagus,
807,bagus,
810,w game,
815,bagus,
817,SEHAT SEHAT GAME BAIK,
820,seru banget 👍,
822,good game love it👍🏻,
825,Game bagus,
833,Best,
837,game baik :),
845,Sehat² game baik 🗿,
846,mantap,
885,nya,
902,mantap,
910,i love this game,
916,Game yang bagus,
920,thank you for the game,
925,Bagus,
930,good game,
932,keren,
936,game baik,
947,Game baik,
949,game bagus,
964,GOOD,
965,game baik,
966,good,
970,👍,
985,Bagus aja sih 🗿,
986,game nya sangat bagus,
1015,👍👍👍👍👍,
1021,good,
1035,game baik😁,
1039,good,
1043,👍,
1047,mantap,
1054,sehat sehat game baik🥰🤭,
1063,terimakasih game baik,
1090,bagus sekali,
1091,very good game,
1092,seru,
1094,game baik,
1096,keren,
1099,best game,
1100,Terimakasih game baik,
1110,game nya bagus banget,
1114,game ini sangat bagus,
1136,THE BEST GAME,
1144,keren,
1161,ok,
1163,👍,
1166,100 👌,
1174,i love you ^-^,
1184,mantap,
1191,game bagus,
1194,Gamenya sangat seru,
1197,keren aja,
1200,👍,
1205,game baik,
1214,game baik😹😋,
1216,gamenya keren,
1221,Bagus,
1223,I love this game! ><,
1228,game with love,
1232,MANTAP,
1252,👍,
1262,game bagus👍,
1263,Makasih game baik😋,
1277,Oke,
1278,"mantap naik 3,5",
1283,bagus banget ini game😹,
1287,Game bagus banget,
1289,good game,
1294,game bagus 😻😻,
1302,semangat,
1317,good game,
1319,seru,
1320,game bagus,
1329,👍,
1330,TERIMA KASIH GAME BAIK SEHAT SELALU,
1337,bagus banget,
1350,sehat sehat Gim baik😍,
1354,bagus,
1355,Bagus,
1360,nice,
1366,game nya seru😁👍,
1373,game bagus,
1380,best game,
1383,game keren,
1386,Very good,
1389,😏,
1392,bagus aja,
1400,gim baik,
1403,sehat sehat game bagus,
1405,Game nya bagus,
1406,bagus,
1409,bagus,
1423,Semangat game baik,
1427,game bagus,
1435,keren,
1466,gamenya seru!,
1490,terimakasih gem baik,
1494,Game Baik 👌,
1496,game baik🙂‍↔️,
1516,bagus😁,
1545,game baik🥰🥰🥰🥰,
1546,bagus,
