userName,score,at,content,lang,sentiment
Pengguna Google,5,2023-05-24 22:28:17,Yang jelek cuma rate gacha kek biasa,unknown,unknown
Pengguna Google,5,2025-03-27 08:30:19,seruuuuuuuu cuma kadang ngelag ajah banner,unknown,unknown
Pengguna Google,5,2023-05-18 20:45:38,"Untuk gameplay dari game bagus, terutama yg waktu di bos jarillo IV, bisa gunain skill golem yg gede 😀😀😀😀",unknown,unknown
Pengguna Google,5,2023-12-27 07:01:08,"Sehat"" game baik gacha",unknown,unknown
Pengguna Google,5,2025-04-09 06:54:47,yang rating rendah emang gamampu gacha castorice,unknown,unknown
Pengguna Google,5,2024-02-05 17:40:16,Panjang panjang game baik,unknown,unknown
Pengguna Google,5,2024-10-31 05:16:42,Game seru banget game nya turn-based,unknown,unknown
Pengguna Google,5,2024-02-17 14:46:10,"Gamenya bagus grafik juga bagus,tapi lodingnya lama sama biasanya keluar sendiri😭 gacha",unknown,unknown
Pengguna Google,5,2024-04-02 04:38:00,"Game yang sangat bagus dari segi gameplay maupun story, recommended banget.Tapi untuk stat relic nya mohon di permudah",unknown,unknown
Pengguna Google,1,2024-12-27 16:18:09,"Gimana dah baru balik lagi, malah semua akun gua ke reset",unknown,unknown
Pengguna Google,5,2023-05-20 16:22:21,"yosh game rpg turn base yang emang bener bener ngasih pengalaman beda ama game lain, mulai dari elemental sama weakness break, mantap lah pokoknya, dan juga dari segi gameplay dan juga pov yang bener bener ngasih suasana yang bikin makin betah buat main🔥 pity",unknown,unknown
Pengguna Google,1,2025-01-16 10:18:34,saud x rizki x harry,unknown,unknown
Pengguna Google,5,2025-04-07 00:16:27,Hebat,unknown,unknown
Pengguna Google,1,2023-04-26 09:04:43,Kenapa Ngak Bisa Unduh datanya,unknown,unknown
Pengguna Google,5,2023-05-09 20:11:45,Gud,unknown,unknown
Pengguna Google,5,2024-12-22 11:23:33,"Seru, aku suka semua game yang di buat mihoyo",unknown,unknown
Pengguna Google,5,2023-08-22 10:06:01,Mantap dapet Kafka😁😅😁😅😅😁,unknown,unknown
Pengguna Google,5,2023-05-11 16:51:31,Bintang 1 dulu nanti kalo bisa login baru bintang 5,unknown,unknown
Pengguna Google,4,2025-02-09 08:32:18,"Bisakah pada bagian quest (warna biru) itu diberikan fitur skip? , soalnya boring kalau harus ngomong trus ,kalau bisa diberikan fitur skip agar cepat menyelesaikan quest nya turn-based",unknown,unknown
Pengguna Google,5,2023-06-17 03:37:39,nice game,unknown,unknown
Pengguna Google,5,2024-04-26 14:14:55,Mantap ga kikir banner,unknown,unknown
Pengguna Google,5,2024-03-27 07:03:03,intinya bukan game kikir😁🙏 turn-based,unknown,unknown
Pengguna Google,1,2023-05-24 14:00:53,Sangat membosankan banner,unknown,unknown
Pengguna Google,5,2025-04-09 10:04:35,"knapaa banyak player skill isuuu di game ini?? tapi nyalahin hp inflasi ama powercreep .. gw free player aman2 ajaaa ... amaa padaaa jadii cenayangg global passive bakal ngrusak game, yaaa benerr kalo tiap patch diriliss , laa kaloo setaun skill ???? minn storyy jgn kebanyakan yapping , dan di hp kentang gw kdg stuk login 🙏",unknown,unknown
Pengguna Google,5,2023-09-14 05:22:34,Seluruh game dari hoyoverse emang mantap dah,unknown,unknown
Pengguna Google,3,2023-05-24 12:27:28,"Msh bnyak bug berkeliaran,. 😂",unknown,unknown
Pengguna Google,5,2025-04-06 07:52:07,jujur ga paham lagi di spam bintang satu karena castorice mau rilis🗿,unknown,unknown
Pengguna Google,5,2023-04-28 08:13:53,Mmmwuachhh,unknown,unknown
Pengguna Google,5,2024-02-14 12:21:44,"Gim baik, tapi game turn base gacha tuh emg berat karena yang namanya turn base itu pasti musuhnya bermacam² tipe, nah buat nye imbangi lawan musuh² jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk.",unknown,unknown
Pengguna Google,5,2024-01-05 23:38:27,Game turn base terbaik sejauh ini,unknown,unknown
