content,sentiment,lang,word_count
"Server sering lag, loading lama. Grinding terlalu berat. Turn-based combat is smooth, character kit is fun to play",negative,mixed,18
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. Turn-based combat is smooth, character kit is fun to play",positive,mixed,22
"Microtransaction terlalu agresif, berasa pay-to-win. :)",negative,id,6
"pity Update terbaru banyak bug dan crash, sangat mengecewakan. Great soundtrack and cutscenes",negative,mixed,13
"FPS drops on low-end phones, optimization needed. Karakter baru OP, desainnya memukau",negative,mixed,12
"Gacha is RNG hell, spent a lot but no pity. Really frustrated.",negative,en,12
"banner Gameplay turn-based seru, but grinding is brutal. meta",neutral,mixed,9
"banner Turn-based combat is smooth, character kit is fun to play. Cerita dan voice acting luar biasa, soundtracknya top banner-rate :)",positive,mixed,21
"Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,7
"Microtransaction terlalu agresif, berasa pay-to-win.",negative,id,5
RNG GREAT SOUNDTRACK AND CUTSCENES. VISUALS ARE STUNNING. BANNER :),positive,en,10
"5-star buff Good balance overall, not pay-to-win, enjoyed the event. :)",positive,en,11
"Too much grinding required, stamina system sucks. RNG",negative,en,8
"grinding Turn-based combat is smooth, character kit is fun to play. banner-rate",positive,en,12
"gacha Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,11
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. Good balance overall, not pay-to-win, enjoyed the event",positive,mixed,20
"Turn-based combat is smooth, character kit is fun to play.",positive,en,10
"Crashes after the latest patch, needs urgent fix. banner-rate RNG :)",negative,en,11
"UPDATE TERBARU BANYAK BUG DAN CRASH, SANGAT MENGECEWAKAN. LOVE THE ART AND STORY, NO LAG ON MY DEVICE",negative,mixed,18
"Turn-based combat is smooth, character kit is fun to play.",positive,en,10
"Cerita dan voice acting luar biasa, soundtracknya top. Love the art and story, no lag on my device",positive,mixed,18
"GACHA MASIH RNG, PITY RATE LOW. BUT STORYNYA BAGUS SEKALI.",neutral,mixed,10
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. Turn-based combat is smooth, character kit is fun to play",negative,mixed,22
"Good balance overall, not pay-to-win, enjoyed the event. :)",positive,en,9
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. :)",negative,id,13
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. Love the art and story, no lag on my device :)",positive,mixed,23
"Microtransaction terlalu agresif, berasa pay-to-win. Great soundtrack and cutscenes",negative,mixed,9
"Microtransaction terlalu agresif, berasa pay-to-win. :)",negative,id,6
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy.",positive,id,12
"turn-based Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. grinding :)",negative,id,15
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. Love the art and story, no lag on my device",negative,mixed,22
"pull sustain Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. :)",positive,id,14
"Turn-based combat is smooth, character kit is fun to play.",positive,en,10
"nerf Karakter baru OP, desainnya memukau. Banner worth to pull. Great soundtrack and cutscenes :)",positive,mixed,15
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. RNG sustain",positive,id,13
"Karakter baru OP, desainnya memukau. Banner worth to pull. :)",positive,id,10
"Gacha masih RNG, pity rate low. But storynya bagus sekali. :)",neutral,mixed,11
"Good balance overall, not pay-to-win, enjoyed the event.",positive,en,8
"meta Turn-based combat is smooth, character kit is fun to play. buff",positive,en,12
"Good balance overall, not pay-to-win, enjoyed the event. :)",positive,en,9
"nerf Update terbaru banyak bug dan crash, sangat mengecewakan. Turn-based combat is smooth, character kit is fun to play :)",negative,mixed,20
banner Great soundtrack and cutscenes. Visuals are stunning. :),positive,en,9
"Too much grinding required, stamina system sucks. :)",negative,en,8
"Cerita dan voice acting luar biasa, soundtracknya top. Turn-based combat is smooth, character kit is fun to play",positive,mixed,18
"Gacha is RNG hell, spent a lot but no pity. Really frustrated. banner-rate",negative,en,13
"Good balance overall, not pay-to-win, enjoyed the event.",positive,en,8
"Server sering lag, loading lama. Grinding terlalu berat. Great soundtrack and cutscenes banner-rate",negative,mixed,13
"Too much grinding required, stamina system sucks.",negative,en,7
"GREAT VISUALS TAPI BANYAK BUG SETELAH UPDATE, PLEASE FIX. :)",neutral,mixed,10
"Gacha masih RNG, pity rate low. But storynya bagus sekali. pull sustain :)",neutral,mixed,13
"Gacha masih RNG, pity rate low. But storynya bagus sekali. :)",neutral,mixed,11
"Update terbaru banyak bug dan crash, sangat mengecewakan.",negative,id,8
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"FPS drops on low-end phones, optimization needed.",negative,en,7
"Good balance overall, not pay-to-win, enjoyed the event.",positive,en,8
"LOVE THE ART AND STORY, NO LAG ON MY DEVICE. BANNER FELT FAIR THIS TIME. SUKA GAMEPLAYNYA, TURN-BASED YANG HALUS",positive,mixed,20
"buff FPS drops on low-end phones, optimization needed. Cerita dan voice acting luar biasa, soundtracknya top gacha",negative,mixed,17
"Cerita dan voice acting luar biasa, soundtracknya top.",positive,id,8
"Microtransaction terlalu agresif, berasa pay-to-win. Great soundtrack and cutscenes",negative,mixed,9
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Gacha is RNG hell, spent a lot but no pity. Really frustrated. banner",negative,en,13
GREAT SOUNDTRACK AND CUTSCENES. VISUALS ARE STUNNING. :),positive,en,8
"Great soundtrack and cutscenes. Visuals are stunning. Grafiknya keren banget, storynya bikin betah",positive,mixed,13
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"banner Update terbaru banyak bug dan crash, sangat mengecewakan.",negative,id,9
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"banner Gameplay turn-based seru, but grinding is brutal. pull",neutral,mixed,9
"gacha Gacha is RNG hell, spent a lot but no pity. Really frustrated. :)",negative,en,14
"Server sering lag, loading lama. Grinding terlalu berat.",negative,id,8
"Too much grinding required, stamina system sucks.",negative,en,7
"GREAT VISUALS TAPI BANYAK BUG SETELAH UPDATE, PLEASE FIX.",neutral,mixed,9
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"turn-based Karakter baru OP, desainnya memukau. Banner worth to pull. Turn-based combat is smooth, character kit is fun to play",positive,mixed,20
"Love the art and story, no lag on my device. Banner felt fair this time. Cerita dan voice acting luar biasa, soundtracknya top",positive,mixed,23
"Gacha is RNG hell, spent a lot but no pity. Really frustrated.",negative,en,12
"FPS drops on low-end phones, optimization needed. sustain :)",negative,en,9
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. Good balance overall, not pay-to-win, enjoyed the event buff 5-star :)",positive,mixed,22
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya.",positive,id,11
"Good balance overall, not pay-to-win, enjoyed the event. Grafiknya keren banget, storynya bikin betah 5-star",positive,mixed,15
"GACHA MASIH RNG, PITY RATE LOW. BUT STORYNYA BAGUS SEKALI.",neutral,mixed,10
"Update terbaru banyak bug dan crash, sangat mengecewakan. :)",negative,id,9
"Update terbaru banyak bug dan crash, sangat mengecewakan. grinding",negative,id,9
"LOVE THE ART AND STORY, NO LAG ON MY DEVICE. BANNER FELT FAIR THIS TIME. :)",positive,en,16
"TURN-BASED COMBAT IS SMOOTH, CHARACTER KIT IS FUN TO PLAY. CERITA DAN VOICE ACTING LUAR BIASA, SOUNDTRACKNYA TOP",positive,mixed,18
"Cerita dan voice acting luar biasa, soundtracknya top. Turn-based combat is smooth, character kit is fun to play",positive,mixed,18
"FPS drops on low-end phones, optimization needed. Suka gameplaynya, turn-based yang halus",negative,mixed,12
"Karakter baru OP, desainnya memukau. Banner worth to pull.",positive,id,9
"Microtransaction terlalu agresif, berasa pay-to-win. RNG",negative,id,6
"Update terbaru banyak bug dan crash, sangat mengecewakan.",negative,id,8
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Gameplay turn-based seru, but grinding is brutal. turn-based :)",neutral,mixed,9
"FPS drops on low-end phones, optimization needed. pity :)",negative,en,9
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"Cerita dan voice acting luar biasa, soundtracknya top. :)",positive,id,9
"GAMEPLAY TURN-BASED SERU, BUT GRINDING IS BRUTAL.",neutral,mixed,7
"pity Crashes after the latest patch, needs urgent fix.",negative,en,9
"grinding Good balance overall, not pay-to-win, enjoyed the event. meta",positive,en,10
"Spent a lot for banner, still no 5-star, sangat kecewa. :)",neutral,mixed,11
"Too much grinding required, stamina system sucks. meta",negative,en,8
"buff Server sering lag, loading lama. Grinding terlalu berat.",negative,id,9
"Good balance overall, not pay-to-win, enjoyed the event. Cerita dan voice acting luar biasa, soundtracknya top",positive,mixed,16
"turn-based Crashes after the latest patch, needs urgent fix. buff :)",negative,en,11
"pity Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. Great soundtrack and cutscenes RNG",positive,mixed,17
"FPS drops on low-end phones, optimization needed. :)",negative,en,8
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. sustain pity :)",positive,id,15
"CERITA DAN VOICE ACTING LUAR BIASA, SOUNDTRACKNYA TOP. GOOD BALANCE OVERALL, NOT PAY-TO-WIN, ENJOYED THE EVENT :)",positive,mixed,17
"Spent a lot for banner, still no 5-star, sangat kecewa. pity RNG :)",neutral,mixed,13
"Spent a lot for banner, still no 5-star, sangat kecewa. buff",neutral,mixed,11
"Microtransaction terlalu agresif, berasa pay-to-win. pull",negative,id,6
"meta nerf Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,9
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"Crashes after the latest patch, needs urgent fix. Karakter baru OP, desainnya memukau banner",negative,mixed,14
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star.",negative,id,12
"Great visuals tapi banyak bug setelah update, please fix. gacha",neutral,mixed,10
"nerf Too much grinding required, stamina system sucks. Suka gameplaynya, turn-based yang halus pull :)",negative,mixed,15
"GREAT VISUALS TAPI BANYAK BUG SETELAH UPDATE, PLEASE FIX. :)",neutral,mixed,10
"banner-rate Love the art and story, no lag on my device. Banner felt fair this time. Suka gameplaynya, turn-based yang halus",positive,mixed,21
"Microtransaction terlalu agresif, berasa pay-to-win.",negative,id,5
"TURN-BASED COMBAT IS SMOOTH, CHARACTER KIT IS FUN TO PLAY.",positive,en,10
"Too much grinding required, stamina system sucks. Karakter baru OP, desainnya memukau",negative,mixed,12
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. Great soundtrack and cutscenes",positive,mixed,16
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"GACHA MASIH RNG, PITY RATE LOW. BUT STORYNYA BAGUS SEKALI. :)",neutral,mixed,11
"SPENT A LOT FOR BANNER, STILL NO 5-STAR, SANGAT KECEWA. :)",neutral,mixed,11
"Gacha is RNG hell, spent a lot but no pity. Really frustrated.",negative,en,12
"Gacha is RNG hell, spent a lot but no pity. Really frustrated.",negative,en,12
"Microtransaction terlalu agresif, berasa pay-to-win.",negative,id,5
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. Great soundtrack and cutscenes",positive,mixed,15
Great soundtrack and cutscenes. Visuals are stunning. :),positive,en,8
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
Great soundtrack and cutscenes. Visuals are stunning.,positive,en,7
"GACHA MASIH RNG, PITY RATE LOW. BUT STORYNYA BAGUS SEKALI. :)",neutral,mixed,11
"Gacha is RNG hell, spent a lot but no pity. Really frustrated. banner-rate",negative,en,13
"Gacha is RNG hell, spent a lot but no pity. Really frustrated.",negative,en,12
"sustain Turn-based combat is smooth, character kit is fun to play. turn-based",positive,en,12
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"Karakter baru OP, desainnya memukau. Banner worth to pull.",positive,id,9
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. Turn-based combat is smooth, character kit is fun to play turn-based",negative,mixed,23
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. Love the art and story, no lag on my device :)",negative,mixed,23
"Server sering lag, loading lama. Grinding terlalu berat. Love the art and story, no lag on my device :)",negative,mixed,19
"buff Gacha is RNG hell, spent a lot but no pity. Really frustrated. Grafiknya keren banget, storynya bikin betah",negative,mixed,19
"Cerita dan voice acting luar biasa, soundtracknya top. Good balance overall, not pay-to-win, enjoyed the event",positive,mixed,16
"gacha gacha Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,12
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. :)",negative,id,13
"pity RNG Too much grinding required, stamina system sucks. Grafiknya keren banget, storynya bikin betah :)",negative,mixed,16
"Turn-based combat is smooth, character kit is fun to play. buff banner-rate :)",positive,en,13
"sustain Love the art and story, no lag on my device. Banner felt fair this time. Cerita dan voice acting luar biasa, soundtracknya top RNG",positive,mixed,25
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"Love the art and story, no lag on my device. Banner felt fair this time. :)",positive,en,16
"Love the art and story, no lag on my device. Banner felt fair this time.",positive,en,15
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star.",negative,id,12
"Love the art and story, no lag on my device. Banner felt fair this time. Cerita dan voice acting luar biasa, soundtracknya top",positive,mixed,23
"Good balance overall, not pay-to-win, enjoyed the event. gacha banner-rate",positive,en,10
"Turn-based combat is smooth, character kit is fun to play.",positive,en,10
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"FPS drops on low-end phones, optimization needed. banner",negative,en,8
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy.",positive,id,12
