original_index,stemmed,clean_final
0,"['warp', 'kali', 'b', 'banernya', 'clara', 'warp', 'sisa', 'b', 'mulu', 'susah', 'b']",warp kali b banernya clara warp sisa b mulu susah b
1,"['hoyo', 'versi', 'turn', 'base', 'bansos', 'kurang', 'gacha', 'relic', 'ampas', 'rol', 'bug', 'muncul', 'story', 'jajah', 'map']",hoyo versi turn base bansos kurang gacha relic ampas rol bug muncul story jajah map
2,"['semenjak', 'update', 'gb']",semenjak update gb
3,"['global', 'passive', 'inflation', 'pfft', 'hell']",global passive inflation pfft hell
4,"['hapus', 'susah', 'gacha', 'free', 'cari', 'kumpul', 'keburu', 'habis', 'banner']",hapus susah gacha free cari kumpul keburu habis banner
5,"['siii', 'story', 'salju', 'tolong', 'orang', 'nge', 'stuck', 'black', 'screen', 'muncul', 'bug', 'baik', 'bug']",siii story salju tolong orang nge stuck black screen muncul bug baik bug
6,"['imbang', 'character', 'pakai']",imbang character pakai
7,"['chara', 'b', 'hsr', 'rajin', 'bansos', 'yak', 'castorice', 'pulang', 'stelah', 'x', 'pull']",chara b hsr rajin bansos yak castorice pulang stelah x pull
8,"['adakan', 'karakter', 'pacar', 'anak', 'sayang']",adakan karakter pacar anak sayang
9,"['jahat', 'stellar', 'k', 'ku', 'hilang', 'makan', 'bailu', 'hard', 'pit', 'ge', 'castorice', 'oon', 'anjg', 'anjahannajajakjajajs', 'castorice', 'gwa', 'pit', 'parah', 'anj']",jahat stellar k ku hilang makan bailu hard pit ge castorice oon anjg anjahannajajakjajajs castorice gwa pit parah anj
10,"['download', 'data']",download data
11,[],
12,['lumayan'],lumayan
13,"['nak', 'karakter', 'castorice', 'gacha', 'x', 'gacha', 'selamat', 'ulang', 'honkai', 'star', 'rail']",nak karakter castorice gacha x gacha selamat ulang honkai star rail
14,['event'],event
