original_index,cleaned,normalized
0,udah warp kali masih blum dapat b yg ada di banernya malah dapet clara di warp ke sisa nya b mulu susah banget dapet b nya,sudah warp kali masih belum dapat b yang ada di banernya malah dapat clara di warp ke sisa nya b mulu susah sekali dapat b nya
1,bagus game hoyo versi turn base banyak bansos cuma kekurangan nya kalau gacha relic sering ampas bahkan rerol nya gak guna dan sering bug muncul di story maupun saat menjelajahi map biasa,bagus game hoyo versi turn base banyak bansos cuma kekurangan nya kalau gacha relic sering ampas bahkan rerol nya tidak guna dan sering bug muncul di story maupun saat menjelajahi map biasa
2,bagus tapi semenjak update besar bngt gb nya,bagus tapi semenjak update besar sekali gb nya
3,global passive hp inflation pfft hell no,global passive hp inflation pfft hell no
4,game nyah sudah saya hapus susah gacha nyah apa lagih buat free play nyari nyah lama ngumpulin nyah keburu habis banner nyah,game nya sudah saya hapus susah gacha nya apa lagi buat free play mencari nya lama mengumpulkan nya keburu habis banner nya
5,ga jelas bgt siii masa pas story di tempat bersalju mau nolongin orang nge stuck di black screen tiba mana lama bgt lagi kg muncul knp sih bug ya pls dong perbaiki bug nya,tidak jelas sekali siii masa ketika story di tempat bersalju mau menolong orang nge stuck di black screen tiba mana lama sekali lagi tidak muncul kenapa sih bug ya please dong perbaiki bug nya
6,buat game ini jadi seimbang jangan buat character lama tidak terpakai,buat game ini jadi seimbang jangan buat character lama tidak terpakai
7,walaupun hampir smua nya chara b tapi hsr masih rajin ngasih bansos thx game baik sehat yak walaupun castorice gw pulang stelah x pull,walaupun hampir semua nya chara b tapi hsr masih rajin memberi bansos thanks game baik sehat yak walaupun castorice saya pulang stelah x pull
8,tlonk adain karakter pacarku dia mw jadi anak kesayangan soalnya,tolong adakan karakter pacarku dia mau jadi anak kesayangan soalnya
9,game jahat stellar k ku hilang di makan bailu kasih tros hard piti ge mau castorice oon anjg anjahannajajakjajajs castorice gwa udah piti blom dapet parah lu anj,game jahat stellar k ku hilang di makan bailu kasih terus hard piti ge mau castorice oon anjg anjahannajajakjajajs castorice gwa sudah piti belum dapat parah kamu anj
10,bagus tapi download data terus,bagus tapi download data terus
11,bagus gemnya,bagus game nya
12,lumayan,lumayan
13,hoyoverse plis lah saya nak karakter castorice plis hoyoverse udh gacha x gak dapat plis gacha dapat ya hoyoverse baik selamat ulang tahun ke honkai star rail,hoyoverse please lah saya nak karakter castorice please hoyoverse sudah gacha x tidak dapat please gacha dapat ya hoyoverse baik selamat ulang tahun ke honkai star rail
14,gamenya seru banyak event nya,game nya seru banyak event nya
