original_index,raw_content
0,udah warp 140 kali masih blum dapat B5 yg ada di banernya malah dapet Clara di warp ke 80 sisa nya B4 mulu susah banget dapet B5 nya.....
1,"Bagus game hoyo versi turn base, banyak bansos, cuma kekurangan nya kalau gacha relic sering ampas bahkan rerol nya gak guna, dan sering bug muncul di story maupun saat menjelajahi map biasa"
2,"bagus, tapi semenjak update besar bngt GB nya"
3,global passive? HP inflation? pfft* hell no
4,game nyah sudah saya hapus susah gacha nyah apa lagih buat free 2 play nyari nyah lama ngumpulin nyah keburu habis banner nyah
5,"ga jelas bgt siii, masa pas story di tempat bersalju mau nolongin orang nge stuck di black screen tiba"", mana lama bgt lagi kg muncul"", knp sih? bug ya, pls dong perbaiki bug nya"
6,"Buat game ini jadi seimbang, jangan buat character lama tidak terpakai"
7,walaupun hampir smua nya chara b5 tapi hsr masih rajin ngasih bansos thx game baik sehat2 yak walaupun castorice gw pulang stelah 150x pull😭
8,"tlonk adain karakter pacarku, dia mw jadi anak kesayangan soalnya"
9,"GAME JAHAT, STELLAR 8K KU HILANG DI MAKAN BAILU KASIH TROS HARD PITI GE MAU CASTORICE OON ANJG ANJAHANNAJAJAKJAJAJS, CASTORICE GWA UDAH PITI 75 BLOM DAPET PARAH LU ANJ"
10,bagus tapi download data terus
11,bagus gemnya
12,lumayan
13,hoyoverse plis lah saya nak karakter castorice plis hoyoverse udh gacha 40x gak dapat plis gacha 50 dapat ya hoyoverse baik selamat ulang tahun ke 2 honkai star rail
14,gamenya seru banyak event nya😋
15,"Terimakasih Hoyoverse sudah membuat masterpiece bernama Honkai Star Rail. Game ini adalah salah satu game turn based terbaik yang pernah saya mainkan. Story bagus, gameplay bagus dan gak kikir ke player. Powercreepnya emang gak masuk akal sih tapi karakter yang kurang juga masih bisa dipakai kayak Yunli walau udah di powercreep sama feixiao masih bisa dipakai buat ngeclear content. ini game juga gak kikir"
16,"game nya bagus banget, cutscene bagus banget apalagi pas cutscene 2.2 kemarin"
17,saya ingin lost Netherland atau area ultimate dari castorice lebih di optimisasi karena area tersebut menyebabkan lag berlebihan pada saat melawan boss
18,"bagusss bngttt pliss, apalgi alur kisah castorice dan acheron nyaaa, yang castorice bikin terharuuu, sedihh, dan game nya banyak event, game nya juga baik kagak pelitttt pulakkk"
19,MINIMAL KALO GACHA RELIC TUH DISESUAIN KEK KALO BUAT SUPPORT YA DEF KALO BUAT DPS CR/CDM/BREAK INI BUAT DPS DEF GIMANA SIH LO BLOON
20,powercreep kurang ajar
21,Untuk saya mah udah bagus very good dan ceritanya yang bagus sangat-sangat baguss saya sampai menangis bahagia
22,lebih ke curhat sih di anniv ini kecewa berat hard pity kena off di 74 dan coba lagi dpt on nya di 76 anniv terburuk yg pernah ada wkwkwwk pait cok dev mau duit
23,Security verification delay too long
24,"gangerti kenapa banyak yang bilang game powecreep gila padahal gw pribadi main f2p main juga ga nguli² banget masih oke² aja dan entah kenapa di 3.2 ini gw wangi banget malah dapet castorice, seele, fugue"
25,anti penyakit powercreep gila🤑🤑🤑🤑
26,"Selamat ulang tahun hsr, terimakasih udah nemenin tahun-tahun berharga ku,dan terutama terima sudah menghadirkan karakter secantik dan semenawan herta.jadilah game yang lebih baik lagi,ambil kembali tahta game of the year mu di tahun depan.dan teruslah beri kejutan di setiap updatenya,aku akan terus mendukung walau disaat kamu(hsr) berada di kepurukan. Dari salah satu trailblazer mu~"
27,mantap ku kira gamenya jelek ternyata absolute cinema
28,gimme lc bro
29,game dah bagus so does the characters tapi bagi yang punya hp kentang mana kuat buat upgrade..? plis hoyo buat juga dong versi cloud nih game kek yang genshin- 🙏
