userName,score,at,content
Pengguna Google,5,2025-04-27 18:26:43,udah warp 140 kali masih blum dapat B5 yg ada di banernya malah dapet Clara di warp ke 80 sisa nya B4 mulu susah banget dapet B5 nya.....
Pengguna Google,3,2025-04-27 18:03:16,"Bagus game hoyo versi turn base, banyak bansos, cuma kekurangan nya kalau gacha relic sering ampas bahkan rerol nya gak guna, dan sering bug muncul di story maupun saat menjelajahi map biasa"
Pengguna Google,2,2025-04-27 17:47:49,"bagus, tapi semenjak update besar bngt GB nya"
Pengguna Google,5,2025-04-27 17:40:05,global passive? HP inflation? pfft* hell no
Pengguna Google,3,2025-04-27 17:33:26,game nyah sudah saya hapus susah gacha nyah apa lagih buat free 2 play nyari nyah lama ngumpulin nyah keburu habis banner nyah
Pengguna Google,2,2025-04-27 16:40:30,"ga jelas bgt siii, masa pas story di tempat bersalju mau nolongin orang nge stuck di black screen tiba"", mana lama bgt lagi kg muncul"", knp sih? bug ya, pls dong perbaiki bug nya"
Pengguna Google,1,2025-04-27 14:18:18,"Buat game ini jadi seimbang, jangan buat character lama tidak terpakai"
Pengguna Google,5,2025-04-27 12:55:43,walaupun hampir smua nya chara b5 tapi hsr masih rajin ngasih bansos thx game baik sehat2 yak walaupun castorice gw pulang stelah 150x pull😭
Pengguna Google,1,2025-04-27 12:38:23,"tlonk adain karakter pacarku, dia mw jadi anak kesayangan soalnya"
Pengguna Google,1,2025-04-27 11:38:42,"GAME JAHAT, STELLAR 8K KU HILANG DI MAKAN BAILU KASIH TROS HARD PITI GE MAU CASTORICE OON ANJG ANJAHANNAJAJAKJAJAJS, CASTORICE GWA UDAH PITI 75 BLOM DAPET PARAH LU ANJ"
Pengguna Google,2,2025-04-27 11:28:37,bagus tapi download data terus
Pengguna Google,1,2025-04-27 11:09:49,bagus gemnya
Pengguna Google,2,2025-04-27 10:19:35,lumayan
Pengguna Google,5,2025-04-27 10:07:10,hoyoverse plis lah saya nak karakter castorice plis hoyoverse udh gacha 40x gak dapat plis gacha 50 dapat ya hoyoverse baik selamat ulang tahun ke 2 honkai star rail
Pengguna Google,5,2025-04-27 09:22:25,gamenya seru banyak event nya😋
Pengguna Google,5,2025-04-27 07:50:31,"Terimakasih Hoyoverse sudah membuat masterpiece bernama Honkai Star Rail. Game ini adalah salah satu game turn based terbaik yang pernah saya mainkan. Story bagus, gameplay bagus dan gak kikir ke player. Powercreepnya emang gak masuk akal sih tapi karakter yang kurang juga masih bisa dipakai kayak Yunli walau udah di powercreep sama feixiao masih bisa dipakai buat ngeclear content. ini game juga gak kikir"
Pengguna Google,5,2025-04-27 05:09:54,"game nya bagus banget, cutscene bagus banget apalagi pas cutscene 2.2 kemarin"
Pengguna Google,3,2025-04-27 04:49:46,saya ingin lost Netherland atau area ultimate dari castorice lebih di optimisasi karena area tersebut menyebabkan lag berlebihan pada saat melawan boss
Pengguna Google,5,2025-04-27 03:00:17,"bagusss bngttt pliss, apalgi alur kisah castorice dan acheron nyaaa, yang castorice bikin terharuuu, sedihh, dan game nya banyak event, game nya juga baik kagak pelitttt pulakkk"
Pengguna Google,1,2025-04-27 00:33:25,MINIMAL KALO GACHA RELIC TUH DISESUAIN KEK KALO BUAT SUPPORT YA DEF KALO BUAT DPS CR/CDM/BREAK INI BUAT DPS DEF GIMANA SIH LO BLOON
Pengguna Google,3,2025-04-26 23:37:31,powercreep kurang ajar
Pengguna Google,5,2025-04-26 22:17:24,Untuk saya mah udah bagus very good dan ceritanya yang bagus sangat-sangat baguss saya sampai menangis bahagia
Pengguna Google,2,2025-04-26 22:17:07,lebih ke curhat sih di anniv ini kecewa berat hard pity kena off di 74 dan coba lagi dpt on nya di 76 anniv terburuk yg pernah ada wkwkwwk pait cok dev mau duit
Pengguna Google,1,2025-04-26 19:15:37,Security verification delay too long
Pengguna Google,5,2025-04-26 18:49:41,"gangerti kenapa banyak yang bilang game powecreep gila padahal gw pribadi main f2p main juga ga nguli² banget masih oke² aja dan entah kenapa di 3.2 ini gw wangi banget malah dapet castorice, seele, fugue"
Pengguna Google,5,2025-04-26 17:49:04,anti penyakit powercreep gila🤑🤑🤑🤑
Pengguna Google,5,2025-04-26 17:03:40,"Selamat ulang tahun hsr, terimakasih udah nemenin tahun-tahun berharga ku,dan terutama terima sudah menghadirkan karakter secantik dan semenawan herta.jadilah game yang lebih baik lagi,ambil kembali tahta game of the year mu di tahun depan.dan teruslah beri kejutan di setiap updatenya,aku akan terus mendukung walau disaat kamu(hsr) berada di kepurukan. Dari salah satu trailblazer mu~"
Pengguna Google,5,2025-04-26 16:21:23,mantap ku kira gamenya jelek ternyata absolute cinema
Pengguna Google,5,2025-04-26 15:32:52,gimme lc bro
Pengguna Google,4,2025-04-26 15:25:34,game dah bagus so does the characters tapi bagi yang punya hp kentang mana kuat buat upgrade..? plis hoyo buat juga dong versi cloud nih game kek yang genshin- 🙏
Pengguna Google,1,2025-04-26 15:23:39,"masa kalah rate off ampe 3 kali, katanya guaranteed dapet b5 limited."
Pengguna Google,5,2025-04-26 13:32:05,"game nya enak di mainin , seru , alur nya juga bagus , good job deh"
Pengguna Google,1,2025-04-26 13:12:17,banyak bug
Pengguna Google,5,2025-04-26 13:03:04,"ngak nyangka loh hoyo tumben baik, malah sekarang kuro pelit sih"
Pengguna Google,1,2025-04-26 13:01:14,"game bodoh, moc gak ngontak lagi musuh nya, rate gacha sampah, terusin aja kayak gini semoga bangkrut ni game!"
Pengguna Google,1,2025-04-26 12:27:49,"Perkembangan game ga terstruktur dengan baik. Karakter bintang 5 cuma jadi barang jualan untuk memaksimalkan pendapatan tapi ga dipertimbangkan dengan aspek-aspek lain dalam game. Saya rasa hoyoverse tidak kekurangan staff, juga tidak kekurangan kreatifitas ataupun dana. Ini seharusnya bisa dihindari dengan tim pengembangan yang mempertimbangkan Kesinambungan Karakter dengan Lore/cerita, (termasuk elemen dan kemampuan). Tidak apa jika rilis karakter tertunda beberapa patch, tapi hasil maksimal"
Pengguna Google,1,2025-04-26 12:00:11,fak anying ampas bener udah hampir 90x draw ga dapet dapet karater yang di mau anying fak makin update makin ampas
Pengguna Google,1,2025-04-26 11:38:35,"Aku rate off dapat bailu dan Lc nya terus. Aku benci game ini, Aku berusaha keras berjam jam mengumpulkan 76 pull hanya untuk dapat Lc bailu...Aku sedih sekali"
Pengguna Google,1,2025-04-26 11:38:10,"Kalo ngasih pity ngotak dikit lah, masa f2p dikasih high pity giliran waller malah dikasih low pity. Udah gitu dikasih rate off lagi"
Pengguna Google,1,2025-04-26 11:22:44,aku kalah rate off mulu bang
